Time_ch0	Time_ch1	Time_ch2	Time_ch3	Time_ch4	Time_ch5	Time_ch6	Time_ch7	Time_ch8	Time_ch9	Time_ch10	Time_ch11	Sample_ch0	Sample_ch1	Sample_ch2	Sample_ch3	Sample_ch4	Sample_ch5	Sample_ch6	Sample_ch7	Sample_ch8	Sample_ch9	Sample_ch10	Sample_ch11	
304998	62	126	14	78	142	30	94	158	46	110	174	2058	2043	2114	2089	2010	2164	2052	2086	1977	2020	1974	1993	
304998	62	126	14	78	142	30	94	158	46	110	174	2050	2029	2075	2077	2016	2129	2032	2064	2022	2017	2000	2039	
304998	62	126	14	78	142	30	94	158	46	110	174	2044	2026	2062	2069	2023	2117	2017	2044	2045	2016	2016	2066	
304998	62	126	14	78	142	30	94	158	46	110	174	2048	2030	2078	2071	2020	2134	2020	2052	2017	2021	2004	2039	
304998	62	126	14	78	142	30	94	158	46	110	174	2050	2040	2113	2079	2013	2165	2043	2080	1974	2018	1979	1994	
304998	62	126	14	78	142	30	94	158	46	110	174	2059	2047	2136	2091	2008	2185	2064	2096	1949	2019	1963	1956	
304998	62	126	14	78	142	30	94	158	46	110	174	2060	2046	2128	2093	2008	2176	2059	2099	1955	2021	1963	1969	
304998	62	126	14	78	142	30	94	158	46	110	174	2054	2040	2099	2084	2015	2145	2046	2074	1998	2017	1986	2019	
304998	62	126	14	78	142	30	94	158	46	110	174	2046	2029	2065	2073	2022	2121	2024	2050	2039	2017	2011	2056	
304998	62	126	14	78	142	30	94	158	46	110	174	2046	2023	2064	2068	2021	2120	2019	2046	2040	2021	2015	2060	
304998	62	126	14	78	142	30	94	158	46	110	174	2048	2033	2094	2077	2015	2148	2030	2066	2002	2017	1994	2017	
304998	62	126	14	78	142	30	94	158	46	110	174	2054	2043	2127	2086	2011	2176	2052	2090	1955	2021	1973	1971	
304998	62	126	14	78	142	30	94	158	46	110	174	2064	2048	2139	2094	2008	2187	2065	2101	1944	2022	1961	1960	
304998	62	126	14	78	142	30	94	158	46	110	174	2059	2044	2120	2089	2009	2165	2056	2086	1976	2018	1974	1989	
304998	62	126	14	78	142	30	94	158	46	110	174	2050	2031	2080	2079	2019	2132	2033	2062	2018	2018	1999	2039	
304998	62	126	14	78	142	30	94	158	46	110	174	2044	2024	2058	2071	2020	2117	2016	2048	2042	2022	2015	2062	
304998	62	126	14	78	142	30	94	158	46	110	174	2044	2028	2071	2071	2019	2128	2023	2048	2026	2021	2008	2043	
304998	62	126	14	78	142	30	94	158	46	110	174	2054	2038	2107	2079	2015	2159	2038	2075	1983	2022	1983	1995	
304998	62	126	14	78	142	30	94	158	46	110	174	2062	2047	2136	2091	2012	2186	2059	2098	1949	2021	1964	1962	
304998	62	126	14	78	142	30	94	158	46	110	174	2061	2049	2132	2092	2009	2180	2063	2098	1955	2021	1966	1968	
304998	62	126	14	78	142	30	94	158	46	110	174	2054	2036	2101	2083	2014	2151	2046	2076	1996	2016	1984	2013	
304998	62	126	14	78	142	30	94	158	46	110	174	2050	2026	2069	2075	2020	2122	2024	2049	2038	2022	2009	2058	
304998	62	126	14	78	142	30	94	158	46	110	174	2045	2025	2064	2068	2020	2121	2020	2046	2042	2018	2015	2062	
304998	62	126	14	78	142	30	94	158	46	110	174	2050	2031	2090	2076	2015	2142	2025	2066	2010	2018	1998	2026	
304998	62	126	14	78	142	30	94	158	46	110	174	2057	2043	2122	2083	2009	2176	2049	2084	1965	2018	1973	1976	
304998	62	126	14	78	142	30	94	158	46	110	174	2063	2048	2135	2093	2008	2190	2062	2102	1944	2021	1955	1956	
304998	62	126	14	78	142	30	94	158	46	110	174	2058	2043	2116	2088	2012	2167	2057	2088	1970	2018	1968	1982	
304998	62	126	14	78	142	30	94	158	46	110	174	2053	2033	2084	2077	2015	2137	2038	2065	2013	2022	1998	2030	
304998	62	126	14	78	142	30	94	158	46	110	174	2047	2026	2063	2072	2020	2117	2017	2047	2043	2021	2015	2062	
304998	62	126	14	78	142	30	94	158	46	110	174	2045	2026	2072	2071	2021	2126	2018	2050	2033	2021	2013	2048	
304998	62	126	14	78	142	30	94	158	46	110	174	2051	2041	2108	2079	2018	2156	2036	2074	1986	2019	1990	1999	
304998	62	126	14	78	142	30	94	158	46	110	174	2058	2047	2131	2089	2007	2184	2057	2093	1950	2020	1963	1965	
