Time_ch0	Time_ch1	Time_ch2	Time_ch3	Time_ch4	Time_ch5	Time_ch6	Time_ch7	Time_ch8	Time_ch9	Time_ch10	Time_ch11	Sample_ch0	Sample_ch1	Sample_ch2	Sample_ch3	Sample_ch4	Sample_ch5	Sample_ch6	Sample_ch7	Sample_ch8	Sample_ch9	Sample_ch10	Sample_ch11	
304998	62	126	14	78	142	30	94	158	46	110	174	2027	2015	2123	2058	2036	2154	2031	2056	1987	2044	2040	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2048	2006	2124	2042	2007	2158	2053	2046	1993	2044	2044	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2036	2000	2126	2047	2017	2155	2046	2049	1987	2044	2044	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	2001	2008	2115	2065	2056	2147	2009	2072	1993	2045	2041	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	1985	2035	2083	2080	2089	2139	1979	2090	1996	2046	2040	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1986	2043	2086	2080	2086	2145	1981	2087	2003	2044	2040	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2017	2025	2094	2070	2061	2145	2010	2073	1993	2046	2040	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2043	2005	2117	2044	2024	2153	2048	2055	1985	2041	2042	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2048	1998	2128	2045	2006	2164	2068	2047	1985	2044	2042	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2031	2012	2112	2052	2041	2151	2044	2060	1989	2044	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2001	2035	2083	2070	2070	2145	1993	2081	1999	2044	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1987	2040	2065	2085	2096	2136	1982	2091	1997	2044	2041	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	1992	2025	2082	2078	2086	2137	1993	2082	1987	2044	2040	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	2018	2009	2124	2063	2027	2155	2026	2060	1987	2046	2043	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2045	1998	2139	2039	2018	2154	2054	2045	1992	2045	2041	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2045	2009	2120	2048	2010	2157	2052	2051	1992	2045	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2021	2019	2087	2060	2061	2142	2022	2073	1993	2046	2042	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	1996	2030	2070	2080	2094	2143	1994	2092	1998	2046	2041	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	1981	2032	2083	2082	2087	2144	1983	2083	1998	2041	2042	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	1996	2021	2107	2068	2059	2151	1996	2074	1995	2045	2042	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	2037	2011	2121	2058	2015	2154	2044	2054	1989	2046	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2051	2000	2124	2043	2012	2159	2070	2046	1983	2045	2041	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2039	2004	2111	2049	2034	2155	2044	2054	1984	2045	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2001	2027	2094	2071	2070	2142	2001	2078	1998	2045	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1985	2038	2081	2085	2088	2136	1976	2096	2001	2044	2040	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	1996	2037	2077	2083	2080	2142	1986	2084	1997	2046	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2019	2010	2108	2062	2043	2152	2021	2065	1984	2044	2039	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	2045	2000	2131	2044	2006	2163	2067	2047	1989	2046	2044	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2042	2004	2132	2046	2019	2156	2052	2049	1991	2046	2042	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2017	2020	2098	2062	2049	2147	2018	2074	1995	2046	2044	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1994	2034	2073	2081	2083	2139	1988	2084	1994	2044	2042	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	1986	2033	2070	2081	2089	2142	1976	2085	1993	2045	2042	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2000	2017	2102	2071	2062	2149	1996	2071	1998	2043	2042	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2031	2005	2135	2060	2027	2152	2045	2052	1988	2044	2042	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2050	2008	2130	2044	2002	2164	2066	2048	1984	2044	2038	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	2042	2011	2103	2051	2020	2158	2043	2058	1985	2044	2039	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	2011	2022	2084	2070	2063	2146	2010	2071	1997	2044	2043	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1984	2031	2070	2084	2092	2136	1985	2088	2003	2046	2041	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	1986	2036	2094	2081	2080	2139	1979	2085	1997	2045	2042	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2014	2020	2108	2062	2044	2153	2017	2065	1987	2046	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2047	2001	2122	2046	2011	2167	2054	2043	1984	2043	2044	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	2043	1998	2125	2047	2010	2154	2051	2045	1996	2046	2039	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2020	2015	2107	2056	2041	2148	2022	2066	1996	2044	2042	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	1981	2029	2093	2080	2081	2141	1987	2084	1996	2048	2040	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	1983	2039	2070	2083	2095	2137	1983	2088	1988	2046	2039	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2008	2025	2083	2073	2064	2143	2000	2072	1998	2045	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2024	2009	2115	2061	2025	2152	2035	2060	1996	2045	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2045	1993	2144	2043	2005	2160	2058	2045	1986	2044	2042	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	2033	2006	2129	2048	2022	2155	2046	2052	1987	2046	2039	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	2016	2025	2082	2063	2065	2145	2016	2074	1992	2046	2043	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1991	2029	2072	2080	2096	2137	1980	2084	1998	2046	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1984	2032	2080	2084	2087	2137	1973	2094	1993	2044	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2007	2013	2121	2071	2049	2153	2007	2061	1991	2046	2039	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	2034	2004	2135	2048	2012	2163	2047	2046	1986	2045	2042	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2053	2008	2118	2039	2017	2156	2059	2049	1984	2046	2041	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2023	2007	2107	2062	2036	2150	2026	2063	1996	2046	2044	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1997	2028	2080	2076	2080	2139	1994	2087	2000	2046	2040	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1976	2033	2088	2083	2089	2140	1974	2092	1998	2046	2040	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	1998	2029	2088	2075	2069	2147	1993	2076	1996	2046	2041	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2032	2011	2113	2059	2032	2157	2038	2062	1996	2046	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2044	1999	2130	2047	2004	2158	2051	2047	1983	2043	2038	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2039	2008	2124	2044	2029	2153	2049	2055	1982	2044	2038	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	2011	2022	2100	2062	2060	2146	2019	2074	1991	2045	2040	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1990	2041	2069	2081	2087	2142	1981	2087	2000	2045	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1990	2033	2072	2077	2092	2140	1975	2088	2000	2044	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2008	2019	2110	2071	2052	2151	2011	2071	1994	2042	2039	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	2044	2005	2128	2049	2027	2154	2052	2052	1985	2044	2039	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2047	2006	2133	2047	2004	2164	2058	2047	1984	2042	2041	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2030	2013	2101	2054	2028	2152	2032	2060	1998	2046	2042	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2007	2027	2071	2071	2078	2142	2004	2083	1992	2045	2040	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	1985	2031	2080	2082	2093	2139	1970	2091	1992	2045	2043	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	1996	2032	2093	2071	2087	2136	1996	2081	1991	2046	2040	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2016	2016	2125	2063	2029	2154	2022	2057	1999	2044	2041	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	2047	2001	2121	2045	2009	2153	2052	2049	1988	2044	2041	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	2047	1999	2120	2047	2014	2156	2059	2049	1988	2046	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2018	2015	2103	2062	2053	2148	2025	2076	1991	2046	2039	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	1988	2033	2074	2073	2095	2132	1993	2084	1990	2044	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1984	2043	2073	2084	2091	2138	1969	2092	2001	2045	2044	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2013	2023	2091	2071	2063	2144	2009	2077	1997	2046	2041	2045	
304998	62	126	14	78	142	30	94	158	46	110	174	2036	1997	2127	2053	2019	2162	2044	2052	1987	2048	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2051	1997	2131	2043	2010	2160	2061	2049	1983	2048	2044	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2037	2011	2114	2049	2031	2155	2048	2059	1997	2045	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2003	2031	2080	2072	2066	2140	2002	2079	1998	2044	2039	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	1985	2031	2072	2080	2092	2141	1979	2092	1995	2043	2040	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	1986	2023	2092	2079	2076	2147	1981	2081	1993	2044	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2020	2013	2116	2059	2043	2149	2028	2058	1994	2046	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2041	2007	2136	2048	2008	2164	2052	2052	1986	2045	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2047	2004	2119	2046	2013	2152	2056	2054	1987	2044	2041	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	2021	2017	2099	2058	2048	2150	2028	2075	1988	2044	2041	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	1994	2027	2081	2079	2077	2144	1996	2079	1996	2046	2042	2045	
304998	62	126	14	78	142	30	94	158	46	110	174	1979	2034	2082	2076	2101	2136	1972	2085	1995	2046	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2001	2031	2103	2066	2072	2149	1994	2079	1995	2046	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2032	2009	2120	2053	2028	2155	2039	2058	1986	2044	2040	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2057	2002	2126	2041	2008	2163	2064	2047	1981	2041	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2039	2009	2117	2055	2024	2158	2043	2052	1993	2047	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2005	2025	2089	2067	2066	2140	2009	2079	1999	2044	2043	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1985	2039	2072	2086	2091	2139	1987	2095	1997	2044	2044	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	1989	2029	2083	2079	2085	2142	1979	2087	1991	2043	2045	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	2017	2014	2105	2061	2046	2151	2017	2067	1986	2046	2042	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2036	1997	2135	2049	2006	2162	2050	2051	1992	2045	2042	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2045	2006	2128	2045	2020	2156	2060	2052	1984	2044	2044	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2027	2020	2107	2059	2043	2154	2028	2064	1985	2045	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2003	2032	2067	2073	2085	2137	1992	2085	1990	2045	2043	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	1986	2033	2072	2083	2088	2140	1981	2084	2000	2045	2040	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	1995	2022	2102	2080	2063	2150	1996	2078	1997	2046	2043	2045	
304998	62	126	14	78	142	30	94	158	46	110	174	2030	2013	2126	2060	2029	2158	2033	2060	1984	2045	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2050	2009	2123	2047	2006	2164	2059	2046	1981	2044	2044	2044	
304998	62	126	14	78	142	30	94	158	46	110	174	2044	2008	2107	2046	2034	2147	2057	2049	1988	2046	2040	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2010	2015	2100	2069	2059	2149	2009	2073	1995	2046	2041	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	1984	2032	2082	2081	2097	2136	1980	2095	1992	2045	2044	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	1982	2036	2090	2077	2080	2145	1987	2091	1994	2044	2041	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	2013	2020	2102	2070	2048	2152	2019	2063	1989	2045	2042	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	2044	1999	2120	2045	2021	2154	2043	2051	1996	2045	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2048	1997	2132	2049	2003	2157	2060	2052	1993	2044	2039	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	2030	2017	2112	2057	2041	2147	2033	2064	1986	2048	2040	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1995	2032	2083	2077	2074	2144	1994	2080	1989	2046	2044	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	1983	2034	2071	2077	2096	2135	1971	2086	2002	2046	2041	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	1999	2023	2088	2076	2073	2144	1997	2080	2000	2046	2039	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2022	2010	2121	2060	2032	2149	2030	2060	1984	2046	2043	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2046	2005	2136	2045	2012	2159	2053	2047	1984	2043	2039	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2042	2009	2118	2048	2016	2161	2051	2051	1984	2043	2040	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2017	2022	2085	2061	2060	2143	2013	2074	2001	2045	2043	2046	
304998	62	126	14	78	142	30	94	158	46	110	174	1994	2032	2072	2083	2086	2140	1989	2095	1993	2046	2041	2051	
304998	62	126	14	78	142	30	94	158	46	110	174	1985	2031	2090	2085	2086	2142	1971	2089	1994	2046	2042	2049	
304998	62	126	14	78	142	30	94	158	46	110	174	2000	2017	2109	2064	2053	2150	2007	2072	1984	2046	2038	2045	
304998	62	126	14	78	142	30	94	158	46	110	174	2035	2006	2129	2054	2014	2160	2038	2046	1996	2042	2041	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2051	2005	2119	2040	2016	2152	2055	2048	1991	2044	2041	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	2031	2007	2110	2054	2038	2150	2041	2063	1993	2047	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	1992	2025	2091	2073	2074	2139	1996	2080	1990	2046	2044	2050	
304998	62	126	14	78	142	30	94	158	46	110	174	1982	2040	2081	2078	2093	2140	1971	2085	1997	2045	2041	2045	
304998	62	126	14	78	142	30	94	158	46	110	174	1993	2033	2083	2078	2066	2146	1981	2078	1997	2044	2042	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2027	2011	2109	2055	2046	2149	2031	2062	1988	2043	2043	2047	
304998	62	126	14	78	142	30	94	158	46	110	174	2040	1997	2140	2048	2004	2164	2048	2047	1981	2045	2042	2050	
